key,en,th
LANGUAGE_ENGLISH,English,English
LANGUAGE_THAI,ไทย,ไทย
GAME_TITLE,Low Altitude Warrior,Low Altitude Warrior
MENU_SUBTITLE,Thai Rural Sci-Fi Action,แอ็กชันไซไฟชนบทไทย
MENU_START_MISSION,Start Mission,เริ่มภารกิจ
MENU_FIELD_MAP,Field Map,แผนที่ภารกิจ
MENU_SETTINGS,Settings,ตั้งค่า
MENU_CREDITS,Credits,เครดิต
MENU_EXIT,Exit Game,ออกจากเกม
UI_BACK,Back,ย้อนกลับ
UI_BACK_MENU,Back to Main Menu,กลับเมนูหลัก
UI_BACK_MAP,Back to Mission Map,กลับแผนที่ภารกิจ
UI_CONFIRM_RESET,Confirm Data Reset,ยืนยันการล้างข้อมูล
CHARACTER_SELECT_TITLE,Select Field Operator,เลือกเจ้าหน้าที่ภาคสนาม
CHARACTER_DEPLOY,Select Operator,เลือกเจ้าหน้าที่
CHARACTER_STATS,HP {health} • ATK {attack} • SPD {speed},ชีวิต {health} • โจมตี {attack} • เร็ว {speed}
CHAR_TONKLA_NAME,Tonkla,ต้นกล้า
CHAR_TONKLA_ROLE,ACO Field Operator,เจ้าหน้าที่ ACO
CHAR_TONKLA_DESC,A balanced cutter specialist prepared for any field condition.,ผู้เชี่ยวชาญเครื่องตัดหญ้าสมดุล พร้อมรับมือทุกสถานการณ์
CHAR_RIN_NAME,Rin,ริน
CHAR_RIN_ROLE,Recon Operator,หน่วยลาดตระเวน
CHAR_RIN_DESC,A fast scout who strikes and repositions before the threat can react.,ทหารลาดตระเวนว่องไว โจมตีแล้วเปลี่ยนตำแหน่งได้รวดเร็ว
CHAR_KHEM_NAME,Khem,เข้ม
CHAR_KHEM_ROLE,Local Volunteer,อาสาสมัครอีสาน
CHAR_KHEM_DESC,A resilient survivor who controls a wider area with every cutter swing.,ผู้รอดชีวิตจอมแกร่ง เหวี่ยงเครื่องตัดหญ้าได้กว้างและรุนแรง
CHAR_T800_NAME,T-800,T-800
CHAR_T800_ROLE,Synthetic Containment Unit,จักรกลสังเคราะห์
CHAR_T800_DESC,An armored machine built to keep advancing under heavy damage.,จักรกลหุ้มเกราะ ทนทานสูงและทรงพลังอย่างไม่หยุดยั้ง
LEVEL_SELECT_TITLE,Select Mission,เลือกด่าน
LEVEL_OPERATOR,Operator: {name},เจ้าหน้าที่: {name}
LEVEL_SAMPLES,Alien Samples  {count},ตัวอย่างต่างดาว  {count}
LEVEL_LOCKED,Complete the previous mission to unlock.,ทำภารกิจก่อนหน้าเพื่อปลดล็อก
LEVEL_LOCKED_SHORT,LOCKED,ล็อก
LEVEL_TITLE,Mission {number} • {name},ด่าน {number} • {name}
LEVEL_COMPLETED_BEST,Complete • Best {count} samples,สำเร็จแล้ว • ดีที่สุด {count} ตัวอย่าง
LEVEL_OBJECTIVE,Objective • Eliminate {count} threats,เป้าหมาย • กำจัดภัยคุกคาม {count} ตัว
LEVEL_START,Start Mission  {number},เริ่มภารกิจ  {number}
