key,en,th
SPEAKER_ANAN,Commander Anan,ผู้การอนันต์
SPEAKER_MALI,Dr. Mali,ดร.มะลิ
SPEAKER_CHAI,Technician Chai,ช่างชัย
SPEAKER_OPERATOR,Field Operator,เจ้าหน้าที่ภาคสนาม
STORY_L1_BRIEF_01,"Open the road. Every minute buys another family time.","เปิดถนน ทุกหนึ่งนาทีคือเวลาที่เพิ่มให้อีกหนึ่งครอบครัว"
STORY_L1_BRIEF_02,"Bring back living samples. I need to know whether these plants are communicating.","นำตัวอย่างมีชีวิตกลับมา ฉันต้องรู้ว่าพืชพวกนี้กำลังสื่อสารกันหรือไม่"
STORY_L1_BRIEF_03,"The cutter is tuned. Just remember—it does not enjoy vines that cut back.","ตั้งเครื่องตัดเรียบร้อย จำไว้อย่างเดียว—มันไม่ชอบเถาวัลย์ที่ตัดกลับ"
STORY_L1_BRIEF_04,"Route first, samples second. I will report when the road is clear.","เปิดเส้นทางก่อน เก็บตัวอย่างทีหลัง ฉันจะรายงานเมื่อถนนปลอดภัย"
STORY_L1_RADIO_01,"Multiple species turned toward you at the same instant. That is one signal, not instinct.","พืชหลายชนิดหันเข้าหาคุณพร้อมกัน นั่นคือสัญญาณเดียว ไม่ใช่สัญชาตญาณ"
STORY_L1_RADIO_02,"The eastern evacuation lane is almost clear. Keep the roots off the road.","ช่องทางอพยพฝั่งตะวันออกเกือบปลอดภัย อย่าให้รากกลับขึ้นถนน"
STORY_L1_RADIO_03,"That root bundle is pulling power from every plant you cut. Expect something larger.","มัดรากนั้นกำลังดึงพลังจากพืชทุกต้นที่คุณตัด เตรียมเจอของใหญ่กว่าเดิม"
STORY_L1_BOSS_01,"Large root mass ahead. Clear the signal source before extraction.","พบมวลรากขนาดใหญ่ข้างหน้า กำจัดต้นทางสัญญาณก่อนถอนกำลัง"
STORY_L1_DEBRIEF_01,"The samples share a pulse pattern. Separate organisms are answering one network.","ตัวอย่างมีรูปแบบพัลส์เดียวกัน สิ่งมีชีวิตแยกกันกำลังตอบเครือข่ายเดียว"
STORY_L1_DEBRIEF_02,"The evacuation route is open. Prepare to follow that network into the forest.","เส้นทางอพยพเปิดแล้ว เตรียมตามเครือข่ายนั้นเข้าสู่ป่า"
STORY_L2_BRIEF_01,"Follow the spores into the forest containment zone and find their source.","ตามสปอร์เข้าสู่เขตกักกันป่าและหาต้นทาง"
STORY_L2_RADIO_01,"These spores are packets, not seeds.","สปอร์พวกนี้คือชุดข้อมูล ไม่ใช่เมล็ด"
